lon,lat,HeatFlow,method,error,distancia,error_dist,ix_Grilla
-72.206,-33.506,59.0,1.0,16.8,59.67964668462636,0.3595470563679658,"[14747, 14748, 14827, 14828]"
-72.187,-33.051,68.0,1.0,16.8,61.793589878678034,0.0004059059334925,"[14427, 14428, 14507, 14508]"
-72.416,-33.46,34.0,1.0,16.8,40.26541588260752,0.0323495481676241,"[14745, 14746, 14825, 14826]"
-72.395,-33.463,34.0,1.0,16.8,42.213739418402845,0.0510953442016622,"[14745, 14746, 14825, 14826]"
-72.376,-33.467,37.0,1.0,16.8,43.97650796111599,0.0824798342117453,"[14745, 14746, 14825, 14826]"
-72.264,-33.502,51.0,1.0,16.8,54.30478669179471,0.5068861495741104,"[14746, 14747, 14826, 14827]"
-72.265,-33.511,56.0,1.0,16.8,54.21211665344632,0.3407587160820117,"[14746, 14747, 14826, 14827]"
-72.268,-33.518,55.0,1.0,16.8,53.93410653084247,0.2353078273709476,"[14746, 14747, 14826, 14827]"
-72.271,-33.526,54.0,1.0,16.8,53.65609639694759,0.137290115955822,"[14746, 14747, 14826, 14827]"
-72.273,-33.534,56.0,1.0,16.8,53.47075630144104,0.0645493303785898,"[14746, 14747, 14826, 14827]"
-72.276,-33.542,58.0,1.0,16.8,53.19274614885824,0.0186076196702336,"[14746, 14747, 14826, 14827]"
-72.278,-33.55,56.0,1.0,16.8,53.00740604094385,0.0,"[14746, 14747, 14826, 14827, 14906, 14907]"
-72.28,-33.558,57.0,1.0,16.8,52.82206592809981,0.0095491424910614,"[14826, 14827, 14906, 14907]"
-73.285,-35.268,40.0,1.0,16.8,42.224994710072885,0.1010867804854875,"[16176, 16177, 16256, 16257]"
-73.268,-35.271,50.0,1.0,16.8,43.76870121502892,0.1291112980617133,"[16176, 16177, 16256, 16257]"
-73.249,-35.277,57.0,1.0,16.8,45.494019869737016,0.2004906750171959,"[16177, 16178, 16257, 16258]"
-73.229,-35.281,53.0,1.0,16.8,47.3101443190485,0.2454034928565155,"[16177, 16178, 16257, 16258]"
-73.21,-35.287,52.0,1.0,16.8,49.035462101532126,0.3275422176322456,"[16177, 16178, 16257, 16258]"
-73.191,-35.293,44.0,1.0,16.8,50.76077943496961,0.4145097309229441,"[16177, 16178, 16257, 16258]"
-73.172,-35.299,54.0,1.0,16.8,52.48609630356058,0.5047414289200169,"[16177, 16178, 16257, 16258]"
-73.153,-35.304,55.0,1.0,16.8,54.14446123565311,0.4713309212162082,"[16177, 16178, 16257, 16258]"
-73.132,-35.31,66.0,1.0,16.8,56.04903419798936,0.3378980090960217,"[16178, 16179, 16258, 16259]"
-73.115,-35.316,84.0,1.0,16.8,57.59083089745442,0.2356780575351131,"[16178, 16179, 16258, 16259]"
-73.095,-35.321,73.0,1.0,16.8,59.404708823340535,0.1648703836153663,"[16178, 16179, 16258, 16259]"
-73.076,-35.326,83.0,1.0,16.8,61.12789229213444,0.1099703419944098,"[16178, 16179, 16258, 16259]"
-73.673,-35.905,69.0,1.0,16.8,33.935902202070714,1.0971881919160995,"[16652, 16653, 16732, 16733]"
-73.397,-35.904,69.0,1.0,16.8,58.78015007731179,0.4052375436039049,"[16655, 16656, 16735, 16736]"
-66.923,-33.481,55.85,3.0,17.2,549.8178339222756,0.0159237512450892,[]
-61.957,-26.854,65.6,3.0,14.0,971.2959165347944,0.0017601262229758,[]
-66.775,-33.758,60.46,3.0,14.0,561.5848648821603,0.0045427619415967,[]
-66.795,-33.759,54.12,3.0,14.0,559.7365586570377,0.0050919515052453,[]
-68.194,-30.083,37.45,3.0,14.0,419.2362269234349,0.0128419219144599,"[12067, 12068, 12147, 12148]"
-62.105,-33.122,55.89,3.0,14.0,999.889760489198,0.0164687061092385,[]
-62.772,-26.544,67.5,3.0,14.0,882.9086222748672,0.0026487323497927,[]
-61.775,-29.908,53.47,3.0,14.0,1037.7485332748038,0.0221615042645185,[]
-61.832,-26.462,59.97,3.0,14.0,977.198668660745,0.0051276033673379,[]
-66.615,-33.812,65.97,3.0,14.0,584.9280487821263,0.0248496768028008,[]
-62.395,-26.043,68.37,3.0,14.0,924.3700732811062,0.0030263060162949,[]
-64.783,-26.783,100.76,3.0,14.0,691.700885467977,0.0131288949567009,[]
